state_id	author_label	primary_role	ecotype_axis	source_markers	analysis_markers	note
CD14HI_MONO	CD14hi Mono	primary	Mono	FCN1|VCAN|MNDA|S100A12|CD36|IRAK3|CSF3R|CYBB|S100A8|RBM47|SLC8A1|PLXDC2|CLEC12A|FGD4|AIF1	FCN1|VCAN|MNDA|S100A12|CD36|IRAK3|CSF3R|CYBB|S100A8|RBM47|SLC8A1|PLXDC2|CLEC12A|FGD4|AIF1	Exact Zenodo cell-frequency signature
CD16HI_MONO	CD16hi Mono	primary	Mono	FCGR3A|SMIM25|LST1|FCN1|SERPINA1|TCF7L2|MTSS1|HCK|MS4A7|SLC8A1|CLEC7A|LILRB2|WARS|CLEC12A|IRAK3	FCGR3A|SMIM25|LST1|FCN1|SERPINA1|TCF7L2|MTSS1|HCK|MS4A7|SLC8A1|CLEC7A|LILRB2|WARS|CLEC12A|IRAK3	Exact Zenodo cell-frequency signature
MACROPHAGE	Mphi	primary	Mphi_OC	MSR1|DOCK4|SLC8A1|C1QA|CLEC7A|PLXDC2|C1QC|MS4A6A|CD86|HLA-DQA1|FMNL2|MARCKS|C1QB|MAFB|FCGR2A	MSR1|DOCK4|SLC8A1|C1QA|CLEC7A|PLXDC2|C1QC|MS4A6A|CD86|HLA-DQA1|FMNL2|MARCKS|C1QB|MAFB|FCGR2A	Author code label is Mphi Unicode; ASCII ID frozen here
OSTEOCLAST	OC	primary	Mphi_OC	CTSK|ACP5|MMP9|SLC9B2|ATP6V0D2|ANPEP|SPP1|TNFRSF11A|JDP2|CD109|AK5|CSF1R|NRP2|COL27A1|LINC02725	CTSK|ACP5|MMP9|SLC9B2|ATP6V0D2|ANPEP|SPP1|TNFRSF11A|JDP2|CD109|AK5|CSF1R|NRP2|COL27A1|LINC02725	Exact Zenodo cell-frequency signature
CD4_TREG	CD4 Treg	primary	Treg_Tex	IKZF2|CTLA4|FOXP3|CTLA4|TIGIT|TBC1D4|ICOS|AC013652.1|STAM|BATF|LTB|TRAC|IL32|DUSP16|CD2	IKZF2|CTLA4|FOXP3|TIGIT|TBC1D4|ICOS|AC013652.1|STAM|BATF|LTB|TRAC|IL32|DUSP16|CD2	Source repeats CTLA4; analysis list deduplicates it
CD8_TEX	CD8 Tex	primary	Treg_Tex	TOX|TNFRSF9|DGKH|LINC01934|CD27|CD8A|BICDL1|TNIP3|MIR155HG|NCALD|TTN|GZMK|CD2|HNRNPLL|NKG7	TOX|TNFRSF9|DGKH|LINC01934|CD27|CD8A|BICDL1|TNIP3|MIR155HG|NCALD|TTN|GZMK|CD2|HNRNPLL|NKG7	Exact Zenodo cell-frequency signature
CD8_PTEX	CD8 pTex	sensitivity_only	Treg_Tex	GZMK|GZMA|CCL5|NKG7|CST7|CD8A|CD3D|KLRK1|TOX|CD3G|CCL4|IL32|CD2|CD3E|TRAC	GZMK|GZMA|CCL5|NKG7|CST7|CD8A|CD3D|KLRK1|TOX|CD3G|CCL4|IL32|CD2|CD3E|TRAC	Not in Figure 1E six-state primary vector
